Seq,序號,類別,星等,旅宿名稱,縣市,鄉鎮,地址,電話,傳真,房間數,電子郵件,網址,郵遞區號,經度Lng,緯度Lat,資料序號Seq
12,12,星級旅館,二星,晶晶假期商務旅館,高雄市,新興區,800高雄市新興區忠孝一路482號,07-2355555,07-2363556,64,,,800,120.306526,22.635251,12
13,13,星級旅館,二星,河堤美學商旅,高雄市,三民區,807高雄市三民區安東街23-1號,07-3119101,07-3214080,61,service@riverhotel.com.tw,http://www.riverhotel.com.tw,807,120.2951698,22.64211003,13
14,14,星級旅館,二星,雲端精緻旅館,高雄市,新興區,800高雄市新興區民主路18號,07-2867069,07-2867058,58,cloud.hotel@msa.hinet.net,,800,120.300089,22.63328,14
15,15,星級旅館,二星,國星大飯店,高雄市,三民區,807高雄市三民區同愛街79號2-5樓、81號1-6樓,07-2873101,07-2889109,50,lobu795212000@yahoo.com.tw,,807,120.300561,22.637524,15
16,16,星級旅館,二星,空中城都會商務旅館,高雄市,苓雅區,802高雄市苓雅區自強三路5號33樓,07-5666111,07-5668816,44,85skycity@gmail.com,http://www.85skycity.com,802,120.300268,22.611649,16
17,17,星級旅館,二星,靉嗨三多行旅,高雄市,苓雅區,802高雄市苓雅區林森二路84-2號3-8樓,07-3301117,07-3301113,42,ihishotel@gmail.com,,802,120.307218,22.618954,17
18,18,星級旅館,二星,禮來大飯店,高雄市,前金區,801高雄市前金區東金里六合二路166號,07-2012222,07-2012111,30,lilyhotel166@gmail.com,,801,120.2921474,22.6306173,18
19,19,星級旅館,三星,高雄富野渡假酒店,高雄市,前鎮區,806高雄市前鎮區瑞田街99號,07-8215299,-,206,rsvn-khh@hoyaresort.com.tw,http://www.hoyaresort.com.tw,806,120.320509,22.598249,19
20,20,星級旅館,三星,高雄漢王洲際飯店,高雄市,鹽埕區,803高雄市鹽埕區七賢三路98號,07-5313131,07-5313140,197,info@kingship.com.tw,http://kingship.com.tw,803,120.2816455,22.6248851,20
21,21,星級旅館,三星,康橋商旅-六合夜市七賢館,高雄市,新興區,800高雄市新興區同愛街28號1樓、30號,07-2885588,07-2885577,195,h015.hotel@msa.hinet.net,,800,120.300607,22.63556,21
22,22,星級旅館,三星,高雄統茂松柏大飯店,高雄市,新興區,"800高雄市新興區和平一路219號1,3,4,7-11樓",07-2232251,07-2220332,191,taw@uniongo.com.tw,http://www.evergreen-hotel.com.tw,800,120.317321,22.631789,22
23,23,星級旅館,三星,高雄商旅,高雄市,新興區,"800高雄市新興區民族二路33號1,4-10樓,37號1,3-10樓",07-2221333,07-2221399,167,urban-hotel33@hanhsien.com.tw,http://www.han-hsien.com.tw/urban/index.php,800,120.312888,22.629666,23
24,24,星級旅館,三星,京城大飯店,高雄市,三民區,807高雄市三民區九如二路362號2-15樓,07-3119906,07-3119591,142,ksthotel@ms33.hinet.net,,807,120.302558,22.641389,24
25,25,星級旅館,三星,九福大飯店,高雄市,新興區,800高雄市新興區民主路16號1-8樓,07-2872131,07-2873555,130,doris@everluckhotel.com.tw,http://www.everluckhotel.com.tw,800,120.300389,22.633326,25
26,26,星級旅館,三星,國際星辰旅館,高雄市,三民區,"807高雄市三民區建國三路252之1號1,4-14樓",07-2163535,07-2165353,129,lin7252918@gmail.com,http://www.ncznhotel.com.tw/,807,120.289403,22.635892,26
27,27,星級旅館,三星,威豪飯店 HOTEL WO,高雄市,前金區,801高雄市前金區七賢二路394號,07-2826000,07-2822153,123,carolkuo@hotelswo.com,http://www.hotelswo.com,801,120.288545,22.630975,27
28,28,星級旅館,三星,好地方飯店六合館,高雄市,前金區,801高雄市前金區七賢二路207號,07-2162330,07-2162339,115,yongyuehotel7@gmail.com,,801,120.293748,22.632302,28
29,29,星級旅館,三星,首福大飯店,高雄市,新興區,800高雄市新興區民主路12號,07-2870151,07-2860160,98,doris@everluckhotel.com.tw,,800,120.300693,22.633439,29
30,30,星級旅館,三星,河堤國際商旅,高雄市,小港區,812高雄市小港區宏平路447號5-12樓,07-8038881,07-8013606,98,service@riverhotel.com.tw,,812,120.356288,22.569694,30
31,31,星級旅館,三星,歐遊國際連鎖精品旅館(高雄館),高雄市,苓雅區,802高雄市苓雅區建國一路73號,07-7493333,05-5517755,97,service@allurmotel.com,http://www.allurmotel.com,802,120.337554,22.629985,31
32,32,星級旅館,三星,希望殿堂精緻商旅,高雄市,三民區,807高雄市三民區自立一路303號,07-3131303,07-3217719,87,service@wishinn.com.tw,http://www.wishinn.com.tw,807,120.296247,22.643927,32
33,33,星級旅館,三星,高雄信宗大飯店,高雄市,三民區,807高雄市三民區建國三路487號,07-9738666,07-9738777,81,kaohsiung.ahotel@gmail.com,https://www.ahotel.tw/,807,120.289497,22.635592,33
34,34,星級旅館,三星,帝后大飯店,高雄市,鹽埕區,803高雄市鹽埕區大公路21號,07-5212211,07-5210808,78,Q21@Q21hotel.com,https://www.q21hotel.com/,803,120.2846935,22.626573,34
35,35,星級旅館,三星,鳥巢旅館,高雄市,前金區,801高雄市前金區七賢二路165號,07-9719999,07-9719988,74,nest@nesthotel.com.tw,http://www.nesthotel.com.tw,801,120.296595,22.633207,35
36,36,星級旅館,三星,好地方旅居文旅,高雄市,苓雅區,802高雄市苓雅區三多四路63號11樓之1,07-2692626,07-2696829,70,85tower@hubhotel.com.tw,https://www.hubhotel.com.tw/kaohsiung/,802,120.301666,22.612902,36
37,37,星級旅館,三星,香堤時尚旅館,高雄市,橋頭區,825高雄市橋頭區德松里鐵道北路33號,07-6117166,07-6112257,67,spa@chateau-motel.com.tw,http://www.chateau-motel.com.tw,825,120.3039518,22.76621277,37
38,38,星級旅館,三星,薇肯商旅,高雄市,新興區,800高雄市新興區明星街40號,07-2871568,07-2871502,57,chiuwh721@gmail.com,http://www.milordhotels.com/wecanhotel/,800,120.300064,22.633886,38
39,39,星級旅館,三星,花鄉商務汽車旅館,高雄市,鳳山區,830高雄市鳳山區誠義路122號,07-7198299,07-7198221,48,kin.leng@msa.hinet.net,,830,120.360645,22.610965,39
40,40,星級旅館,三星,家和商旅,高雄市,三民區,807高雄市三民區九如二路486之1號,07-3215558,07-3218268,46,jhotel3215558@gmail.com,,807,120.298435,22.64166,40
41,41,星級旅館,三星,都會商旅七賢館,高雄市,前金區,801高雄市前金區七賢二路231號,07-2726655,07-2117703,42,mhotel2726655@gmail.com,,801,120.2897741,22.6325895,41
42,42,星級旅館,三星,碧港良居商務站前館,高雄市,三民區,807高雄市三民區安寧街437號2、4至7樓,07-3220366,07-3220388,40,service1@watermarkhotel.com.tw,http://www.watermarkhotel.com.tw,807,120.3038026,22.6402814,42
43,43,星級旅館,四星,皇家金宸大飯店,高雄市,鳳山區,830高雄市鳳山區國泰路一段288號,07-7405999,07-7408111,161,chien56@hotmail.com,http://www.royalgoldhotel.com,830,120.353877,22.616188,43
44,44,旅館,,義大天悅飯店,高雄市,大樹區,840高雄市大樹區義大八街100號,07-6568010,07-6568027,358,alice.huang@edaroyal.com.tw,http://www.edaskylark.com.tw,840,120.401191,22.730615,44
45,45,旅館,,城市商旅高雄真愛館,高雄市,鹽埕區,803高雄市鹽埕區大義街1號,07-5215116,07-5218714,298,reservation.kh@citysuites.com.tw,http://www.citysuites.com.tw,803,120.286603,22.623914,45
46,46,旅館,,高雄洲際酒店,高雄市,前鎮區,806高雄市前鎮區新光路33號1樓、3~16樓,07-3392111,-,253,grace.lin@ihg.com,https://ickaohsiung.com/,806,120.3028575,22.6118872,46
47,47,旅館,,天藝商旅,高雄市,前金區,801高雄市前金區六合二路149號1樓 147號3至11樓,07-2869008,07-2869018,215,lc.uo@msa.hinet.net,https://www.skyonehoteltw.com/,801,120.295571,22.63089,47
48,48,旅館,,城市商旅德立莊博愛館,高雄市,三民區,807高雄市三民區博愛一路338號地上1至10樓,07-3238777,07-3239393,213,information.kh@richardson.com.tw,http://www.midtownrichardson.com,807,120.303771,22.650362,48
49,49,旅館,,承億酒店,高雄市,前鎮區,806高雄市前鎮區林森四路189號地上13樓、14樓、15樓、16至19樓、20樓、21樓、22樓及25樓,07-3333999,07-3336999,208,,,806,120.3023026,22.6092498,49
50,50,旅館,,和逸‧高雄中山館,高雄市,前鎮區,806高雄市前鎮區中山二路260號22-29樓,07-9756699,07-9756688,182,huijing.chang@cathayhotel.com.tw,http://www.hotelcozzi.com,806,120.305071,22.613217,50
51,51,旅館,,金獅湖大酒店,高雄市,三民區,807高雄市三民區金鼎路88號及118號,07-3458866,07-3458877,159,jshhotel@gmail.com,,807,120.328097,22.663058,51
52,52,旅館,,捷絲旅高雄中正館,高雄市,苓雅區,802高雄市苓雅區中正一路134號,07-9723568,07-9723566,158,fo.zz@justsleep.com.tw,http://www.justsleep.com.tw/kaohsiuang/sh/index,802,120.331895,22.628366,52
53,53,旅館,,水京棧國際酒店,高雄市,鼓山區,804高雄市鼓山區明華路366號,07-5537001,07-5538008,157,rv@h2ohotel.com.tw,http://www.h2ohotel.com.tw/zh-tw,804,120.302263,22.662978,53
54,54,旅館,,翰品酒店 高雄,高雄市,鹽埕區,803高雄市鹽埕區大仁路43號1-11樓,07-5217388,07-5217068,152,sarah.hsu@ldchotels.com,http://kaohsiung.chateaudechine.com/zh-tw,803,120.285755,22.624921,54
55,55,旅館,,互舍酒店,高雄市,新興區,800高雄市新興區七賢二路11號,07-2878989,07-2859899,150,service@hu-house.com,http://hu-house.com/,800,120.301479,22.634511,55
56,56,旅館,,塔木德酒店Classic-高雄愛河館,高雄市,前金區,801高雄市前金區大同二路23號,07-2013456,07-2013555,146,kh2013456@hotmail.com,http://www.westbay888.com.tw/,801,120.295504,22.627004,56
57,57,旅館,,都會HOTEL d?a,高雄市,新興區,"800高雄市新興區林森一路165號1,5-14樓",07-2722999,07-2722993,145,sales@hoteldua.com,http://www.hoteldua.com,800,120.304557,22.630508,57
58,58,旅館,,捷絲旅高雄站前館,高雄市,新興區,800高雄市新興區中山一路280號,07-9733588,07-9733583,136,FO.ST@justsleep.com.tw,http://www.justsleep.com.tw,800,120.302551,22.635456,58
59,59,旅館,,福容徠旅 高雄,高雄市,前金區,801高雄市前金區高雄市前金區永恆街3號6至14樓,07-2151188,-,136,gm_kh@fullon-poshtels.com.tw,,801,120.2945343,22.6297546,59
60,60,旅館,,頭等艙飯店─站前館,高雄市,三民區,807高雄市三民區建國三路33號,07-2853888,07-2853999,134,service.kh.ks@airlineinn.com,http://www.airlineinn.com,807,120.2991304,22.6376728,60
61,61,旅館,,御宿商旅明華館,高雄市,鼓山區,804高雄市鼓山區明華路257號,07-5222658,07-5222658,132,royal2240022@yahoo.com.tw,,804,120.299091,22.665106,61
62,62,旅館,,高雄中央公園英迪格酒店,高雄市,新興區,800高雄市新興區中山一路4號,07-2721888,07-2716688,129,,https://www.hotelindigokaohsiung.com/zh-hant/,800,120.3013786,22.6244782,62
63,63,旅館,,康橋商旅一高雄站前館,高雄市,三民區,807高雄市三民區建國二路295號1、2、4至11樓,07-2386677,07-2388989,127,h019.hotel@msa.hinet.net,http://www.kindness-hotel.com.tw,807,120.3030127,22.6375721,63
64,64,旅館,,康橋商旅-高雄-覺民館,高雄市,三民區,807高雄市三民區覺民路291號,07-3903377,07-3903355,127,h023.hotel@msa.hinet.net,http://www.kindness-hotel.com.tw/location-kaohsiung-juemin,807,120.3342259,22.6400198,64
65,65,旅館,,單人房 SINGLE INN-站前館,高雄市,新興區,800高雄市新興區八德一路392號,07-2363256,07-2364889,126,service@singleinn.com.tw,http://www.singleinn.com.tw/,800,120.302602,22.636031,65
66,66,旅館,,龍翔飯店,高雄市,左營區,813高雄市左營區立文路75號6-10樓,07-5574769,07-5586104,124,hotela705@gmail.com,,813,120.304689,22.664472,66
67,67,旅館,,富驛商旅,高雄市,前金區,801高雄市前金區中華三路81號,07-9708777,07-2510277,123,hotelm.khh@fxhotels.com,http://www.fxinn.com.tw,801,120.296323,22.627747,67
68,68,旅館,,盛薈飯店,高雄市,三民區,807高雄市三民區安寧街387號,07-9723788,07-9723799,118,deltonbookinghotel@gmail.com,http://www.deltonhotel.com.tw,807,120.30464,22.640232,68
69,69,旅館,,御宿行旅雄中館,高雄市,三民區,807高雄市三民區建國三路44號2-11樓,07-2240022,07-2257673,118,,,807,120.300218,22.637954,69
70,70,旅館,,承攜行旅學產文教會館高雄美術館,高雄市,鼓山區,804高雄市鼓山區中華一路453號,07-5537520,07-5537120,116,hey.guide.kmfa@gmail.com,https://gardenedu.lealeahotel.com/,804,120.292249,22.656268,70
71,71,旅館,,嵩大大飯店,高雄市,三民區,807高雄市三民區建東里南台路197號3-8樓,07-2883041,07-2878098,115,khhgoshen@gomail.com,,807,120.29783,22.637345,71
72,72,旅館,,華園大飯店草衙館,高雄市,前鎮區,806高雄市前鎮區明正里27鄰中安路1號,07-9681111,07-9560567,115,rsv@hotelhg.com.tw,http://www.hotelhg.com.tw/,806,120.33109,22.582489,72
73,73,旅館,,御宿商旅站前館,高雄市,三民區,807高雄市三民區港東里建國二路283號,07-2378888,07-2378888,111,royal2240022@yahoo.com.tw,,807,120.303299,22.637662,73
74,74,旅館,,天子閣飯店,高雄市,鹽埕區,803高雄市鹽埕區七賢三路128號,07-5328899,07-5327799,111,,https://www.tenz-gohotel.com/tw/index.html,803,120.2848991,22.6243589,74
75,75,旅館,,花鄉渡假會館,高雄市,旗山區,842高雄市旗山區忠孝街39號,07-6612828,07-6612928,110,kin.leng@msa.hinet.net,http://www.kin-lengmotel.com.tw/,842,120.492232,22.878478,75
76,76,旅館,,城市商旅駁二館,高雄市,鹽埕區,803高雄市鹽埕區公園二路83號,07-5322777,07-5213211,110,reservation.kh2@citysuites.com.tw,http://www.citysuites.com.tw,803,120.285306,22.620229,76
77,77,旅館,,康橋商旅-高雄-光榮碼頭館,高雄市,苓雅區,802高雄市苓雅區青年二路169號,07-3343377,07-3341177,108,h016.hotel@msa.hinet.net,http://www.kindness-hotel.com.tw,802,120.295154,22.617527,77
78,78,旅館,,康橋商旅-三多商圈館,高雄市,苓雅區,802高雄市苓雅區林森二路10號,07-5379800,07-5379700,108,h020.hotel@msa.hinet.net,http://www.kindness-hotel.com.tw,802,120.308304,22.616088,78
79,79,旅館,,喜悅大飯店,高雄市,前金區,801高雄市前金區七賢二路178號,07-2863033,07-2861999,107,image-hotel@hotmail.com,http://www.image-hotel.com.tw,801,120.295648,22.633355,79
80,80,旅館,,帕可麗酒店,高雄市,鼓山區,804高雄市鼓山區文信路192號,07-9628800,07-9629600,107,pkfd@thelees.com.tw,https://pkl.thelees.com.tw/,804,120.302552,22.66457,80
81,81,旅館,,巨蛋旅店,高雄市,鼓山區,804高雄市鼓山區文忠路1號,07-5868388,07-5528966,105,marketing@hotelr14.com,https://www.hotelr14.com,804,120.2962203,22.6654149,81
82,82,旅館,,國眾大飯店,高雄市,三民區,807高雄市三民區建國二路268號,07-2370117,07-2370128,103,service@nice-hotel.com.tw,http://www.nice-hotel.com.tw/about-us.html,807,120.304646,22.637862,82
83,83,旅館,,高雄國際會館,高雄市,小港區,812高雄市小港區大業北路436號,07-2620999,07-8037388,100,rv@khhplaza.com.tw,http://www.khhplaza.com.tw,812,120.345706,22.566622,83
84,84,旅館,,宜都大飯店,高雄市,新興區,800高雄市新興區南台橫路31號,07-2861911,07-2861901,99,chiuwh721@gmail.com,http://www.milordhotels.com/idolhotel/,800,120.299558,22.635228,84
85,85,旅館,,鮪魚家族飯店高雄館,高雄市,新興區,800高雄市新興區八德二路10號,07-2863011,07-2878749,98,bluefin_reception@fishhotel.com.tw,,800,120.301509,22.636169,85
86,86,旅館,,康橋商旅-六合夜市中正館,高雄市,前金區,801高雄市前金區中正四路112號2-8樓,07-2881166,07-2871166,98,h014.hotel@msa.hinet.net,https://www.kindness-hotel.com.tw/location-kaohsiung-zhongzheng,801,120.297999,22.630332,86
87,87,旅館,,中央商務大飯店,高雄市,新興區,800高雄市新興區中正四路6號5、6、7、8、9樓,07-2852520,07-2859195,98,p0919512359@yahoo.com.tw,https://www.facebook.com/CenterHotel800,800,120.301087,22.631362,87
88,88,旅館,,康橋商旅-後驛九如館,高雄市,三民區,807高雄市三民區九如二路339號3~11樓,07-3153366,07-3153322,98,h017.hotel@msa.hinet.net,https://www.kindness-hotel.com.tw/location-kaohsiung-jiuru,807,120.304362,22.641006,88
89,89,旅館,,益大商務旅館,高雄市,三民區,807高雄市三民區九如二路172號,07-3116181,07-3116180,97,a0921670291@gmail.com,,807,120.308015,22.641044,89
90,90,旅館,,高雄愛河智選假日酒店,高雄市,鹽埕區,803高雄市鹽埕區大智路129號4至15樓,07-5323333,07-5329977,96,service.pier2@hiexkhhlr.com.tw,http://www.hiexpress.com/kaohsiunglr,803,120.2863612,22.6231912,90
91,91,旅館,,喜迎旅店,高雄市,前金區,801高雄市前金區六合二路161號,07-2312333,07-2318383,94,sales@greetinn.com.tw,http://greetinn.com.tw,801,120.2948022,22.630511,91
92,92,旅館,,現代商務旅館,高雄市,三民區,807高雄市三民區九如二路332號4-7樓,07-3122151,07-3218282,92,hsiendai@yahoo.com.tw,,807,120.303262,22.641331,92
93,93,旅館,,芝豐大飯店,高雄市,三民區,"807高雄市三民區河北二路25號1,3至9樓",07-2858161,07-2861479,92,Chihfeng168@gmail.com,,807,120.300883,22.636927,93
94,94,旅館,,鈞怡大飯店,高雄市,前金區,801高雄市前金區河東路10號3樓,07-2821888,07-2828699,91,accounting@harbour10.com.tw,,801,120.291109,22.622156,94
95,95,旅館,,癮室,高雄市,前金區,801高雄市前金區六合二路128號,07-2886888,07-2888988,90,inns.svc@gmail.com,https://inns.ezhotel.com.tw/,801,120.296342,22.631191,95
96,96,旅館,,陽光大飯店,高雄市,苓雅區,802高雄市苓雅區中華四路71號,07-3327988,07-3361445,88,hotelsunshine@hotelsunshine.com.tw,http://www.hotelsunshine.com.tw,802,120.3015282,22.614396,96
97,97,旅館,,秝芯旅店駁二館,高雄市,鹽埕區,803高雄市鹽埕區五福四路67號,07-5219666,07-5211616,88,service@legendhotel.com,http://www.legendhotel.com.tw,803,120.2845067,22.6220726,97
98,98,旅館,,嵩山大飯店,高雄市,新興區,800高雄市新興區七賢一路100號,07-2262266,07-2262270,87,song.san@msa.hinet.net,,800,120.314412,22.633881,98
99,99,旅館,,不老溫泉渡假村,高雄市,六龜區,844高雄市六龜區新發里新開路82號,07-6791888,07-6791666,86,pulaohung@gmail.com,,844,120.68356,23.066412,99
100,100,旅館,,瑞谷大飯店,高雄市,新興區,800高雄市新興區七賢一路75號3-11樓,07-2240501,07-2240940,81,,,800,120.314966,22.633517,100
101,101,旅館,,巴黎香舍旅館,高雄市,前鎮區,"806高雄市前鎮區一心二路15號3-10樓,12樓",07-3300611,07-3300615,81,paris.hotel@msa.hinet.net,,806,120.3123057,22.610372,101
102,102,旅館,,佑煦行旅,高雄市,鹽埕區,803高雄市鹽埕區光榮街83號,07-5218770,07-5218771,78,FO@hotelyoshi.com,,803,120.285994,22.624422,102
103,103,旅館,,六合大旅社,高雄市,新興區,800高雄市新興區六合二路30號,07-2867161,07-2859220,74,sunnysidehotel@hotmail.com.tw,,800,120.300919,22.63282,103
104,104,旅館,,大通大飯店,高雄市,新興區,800高雄市新興區大同一路205號1-11樓,07-2151686,07-2160634,72,,,800,120.300164,22.628526,104
105,105,旅館,,康橋商旅-五甲店,高雄市,鳳山區,"830高雄市鳳山區福德街143巷20號4-9樓,22號1-3樓",07-8122840,07-8122848,72,h003.hotel@msa.hinet.net,,830,120.326927,22.590039,105
106,106,旅館,,龍華旅館,高雄市,旗山區,842高雄市旗山區花旗二路300巷2號,07-6622018,07-6622019,72,,,842,120.458329,22.880717,106
107,107,旅館,,酷旅樹屋旅店,高雄市,前金區,801高雄市前金區六合二路132號3至5樓,07-2878800,07-2878022,72,intreehouse@gmail.com,http://www.designhotels.com.tw,801,120.296066,22.631094,107
108,108,旅館,,鈺陽鴻旅館,高雄市,三民區,807高雄市三民區建國三路185號1至9樓,07-2865151,-,72,,,807,120.2956473,22.6377386,108
109,109,旅館,,新世代精品商務旅店,高雄市,苓雅區,802高雄市苓雅區三多四路63號14樓之2,07-2693322,07-2696112,71,new2693322@hotmail.com,http://www.new2693322.com.tw,802,120.301229,22.612765,109
110,110,旅館,,薇風精品汽車旅館楠梓館,高雄市,楠梓區,811高雄市楠梓區楠盛街137號,07-3551177,07-3551175,71,wfmotel@gmail.com,http://www.wfmotel.com.tw,811,120.33308,22.730996,110
111,111,旅館,,夏優旅居,高雄市,鹽埕區,803高雄市鹽埕區新興街67號,07-5328885,07-5216956,70,hotelsayo@gmail.com,http://67sayo.com,803,120.28104,22.625501,111
112,112,旅館,,雀客快捷高雄愛河,高雄市,鹽埕區,803高雄市鹽埕區七賢三路278號,07-5519292,07-5519290,70,service@hoorayhotel.com.tw,https://www.mastripms.com/checkinn-hooray,803,120.284776,22.630591,112
113,113,旅館,,旗津道酒店,高雄市,旗津區,805高雄市旗津區旗津三路1050號2-3樓,07-5721818,07-5721199,70,abbytsai@inone.com.tw,http://www.inyounghotel.com.tw,805,120.26831,22.610416,113
114,114,旅館,,佳適迎旅舍,高雄市,新興區,800高雄市新興區中山一路257號,07-2882111,07-2886111,68,river.hotels@msa.hinet.net,http://www.jiasinn.com.tw,800,120.302043,22.635241,114
115,115,旅館,,御宿商旅中央公園館,高雄市,前金區,801高雄市前金區中華三路15號,07-2155990,07-2615572,66,royal2240022@yahoo.com.tw,http://www.royal-group.com.tw,801,120.295819,22.6232023,115
116,116,旅館,,金石大飯店,高雄市,新興區,800高雄市新興區明星街32號,07-2887171,07-2887179,65,goldenstone32@gmail.com,http://www.milordhotels.com/,800,120.300149,22.633935,116
117,117,旅館,,西子灣大飯店-站前館,高雄市,三民區,807高雄市三民區建國二路241號,07-2364567,07-2350111,65,kh58888@hotmail.com,http://www.westbay888.com.tw/station,807,120.304724,22.637326,117
118,118,旅館,,御宿汽車旅館鳳山館,高雄市,鳳山區,830高雄市鳳山區中崙一路31巷2號,07-7537118,07-7537118,65,royal2240022@yahoo.com.tw,,830,120.355297,22.612667,118
119,119,旅館,,御宿商旅後驛館,高雄市,三民區,807高雄市三民區遼寧一街458號,07-3115008,07-3115008,64,royal2240022@yahoo.com.tw,,807,120.3033251,22.6427113,119
120,120,旅館,,御宿商旅博愛館,高雄市,三民區,807高雄市三民區博愛一路105號,07-3122622,07-3122622,64,royal2240022@yahoo.com.tw,,807,120.302685,22.644274,120
121,121,旅館,,一陽大飯店,高雄市,新興區,800高雄市新興區中山二路548號1至8樓,07-2018686,07-2216610,64,,,800,120.301513,22.622464,121
122,122,旅館,,美王大飯店,高雄市,新興區,800高雄市新興區八德二路94號,07-2885111,07-2885110,63,milordboutiquehotel@gmail.com,http://www.milordhotels.com/milordboutiquehotel/,800,120.297643,22.635675,122
123,123,旅館,,康橋商旅-高雄-三多衛武營館,高雄市,苓雅區,802高雄市苓雅區三多一路94號(3-8F),07-7248800,07-7248855,62,h009.hotel@msa.hinet.net,http://sandou.kindness-hotel.com.tw/index.php,802,120.332766,22.623449,123
124,124,旅館,,京賞國際飯店,高雄市,三民區,807高雄市三民區十全二路188號1、4至5樓,0933-187285,-,62,,,807,120.29785,22.64597,124
125,125,旅館,,薇風情MOTEL,高雄市,鳳山區,830高雄市鳳山區保仁街1號,07-7968689,07-7968289,61,dadi5688@yahoo.com.tw,http://www.wemotel.com.tw/,830,120.350887,22.592331,125
126,126,旅館,,日光高鐵精品旅館,高雄市,左營區,813高雄市左營區大中二路597號,07-3457380,07-3457190,61,sunmotel597@gmail.com,,813,120.307851,22.682817,126
127,127,旅館,,凱羅藝術大飯店,高雄市,三民區,807高雄市三民區天祥一路68號1-7樓,07-3475800,07-3425480,60,karo@karo.com.tw,http://www.karo.com.tw,807,120.322612,22.666896,127
128,128,旅館,,御宿商旅中山館,高雄市,苓雅區,802高雄市苓雅區興中二路11-2號4-10樓,07-3348101,07-3348101,60,royal2240022@yahoo.com.tw,,802,120.303283,22.615191,128
129,129,旅館,,巴黎商旅,高雄市,新興區,800高雄市新興區自立二路8號,07-2151089,07-2151097,60,paris.hotel8@msa.hinet.net,,800,120.29984,22.62903,129
130,130,旅館,,美麗四季精品旅館,高雄市,前鎮區,806高雄市前鎮區一心一路203巷26號,07-7527699,07-7527599,60,merryseasons@gmail.com,http://www.merryseasons.com.tw/merryseasons.html,806,120.31814,22.607256,130
131,131,旅館,,奇異果快捷旅店 高雄九如店,高雄市,三民區,807高雄市三民區九如一路790號,07-9560604,07-9560671,60,service25@rate-inn.com,,807,120.32046,22.640004,131
132,132,旅館,,J?H? HOTEL,高雄市,新興區,800高雄市新興區中山一路306號,07-2355188,07-2381588,60,service@johohotel.com,https://www.johohotel.com/,800,120.302624,22.63629,132
133,133,旅館,,森美堡休閒汽車旅館,高雄市,旗山區,842高雄市旗山區花旗二路2號,07-6616656,07-6625786,59,tn902122@yahoo.com.tw,,842,120.466844,22.880983,133
134,134,旅館,,喜達絲飯店,高雄市,前金區,801高雄市前金區成功一路286號1至10樓,07-2518000,07-2513200,59,service@starhaushotel.com,http://www.starhaushotel.com,801,120.295481,22.620146,134
